student_id,hours_studied,attendance,sleep_hours,exam_score,motivation,tutoring_sessions,family_income
1,23,84,7,67,1,0,1
2,19,64,8,61,1,2,2
3,24,98,7,74,2,2,2
4,29,89,8,71,2,1,2
5,19,92,6,70,2,3,2
6,19,88,8,71,2,3,2
7,29,84,7,67,1,1,1
8,25,78,6,66,2,1,3
9,17,94,6,69,3,0,2
10,23,98,8,72,2,0,3
11,17,80,8,68,2,4,2
12,17,97,6,71,1,2,1
13,21,83,8,70,1,2,2
14,9,82,8,66,2,2,2
15,10,78,8,65,2,1,1
16,17,68,8,64,2,2,2
17,14,60,10,60,1,0,3
18,22,70,6,65,2,1,1
19,15,80,9,67,1,3,1
20,12,75,7,66,2,3,2
21,29,78,5,69,3,0,3
22,19,99,6,72,2,1,2
23,20,74,8,66,1,1,2
24,11,78,8,66,3,1,1
25,17,65,5,63,2,2,1
26,21,62,6,64,3,0,3
27,13,91,6,65,2,1,3
28,22,83,6,71,2,0,3
29,16,90,4,66,2,1,1
30,18,66,4,64,1,2,1
31,16,83,6,63,2,0,3
32,31,70,7,69,2,1,3
33,20,69,8,67,2,2,2
34,14,60,5,61,2,2,2
35,25,65,5,68,2,2,2
36,13,72,6,61,1,1,1
37,21,65,7,64,1,2,2
38,8,99,9,67,1,2,1
39,12,72,8,63,2,1,1
40,21,65,6,64,1,1,2
41,24,68,8,67,1,3,3
42,21,84,6,65,1,1,2
43,19,63,7,64,2,1,2
44,18,94,7,70,2,3,2
45,11,98,9,68,1,1,2
46,16,70,8,65,2,2,2
47,17,78,6,68,2,1,2
48,26,61,6,64,2,2,1
49,22,86,7,68,1,3,1
50,9,77,5,63,2,2,2
51,22,71,7,64,1,1,2
52,18,68,7,64,2,0,2
53,16,86,8,67,2,2,2
54,24,77,8,67,2,0,2
55,26,67,7,66,1,2,3
56,26,88,5,72,2,1,1
57,15,83,5,65,1,1,2
58,18,94,6,71,3,1,2
59,22,65,8,66,2,2,2
60,26,91,8,68,2,0,1
61,17,87,7,70,2,1,3
62,19,65,10,62,1,0,1
63,13,88,9,68,3,2,1
64,13,78,9,67,3,2,1
65,25,98,8,71,2,0,2
66,28,66,8,68,2,0,2
67,20,86,8,69,2,1,1
68,26,75,4,70,3,3,2
69,22,98,5,69,1,1,1
70,16,73,7,65,2,1,1
71,22,98,7,70,2,3,2
72,29,96,7,71,2,1,1
73,20,71,7,65,2,1,1
74,29,92,4,72,2,2,2
75,4,100,8,69,3,0,2
76,25,70,7,66,2,1,2
77,21,77,7,68,2,4,2
78,18,81,8,65,2,0,2
79,21,72,5,64,2,1,3
80,8,61,7,60,2,1,3
81,19,69,7,65,3,1,1
82,22,71,6,66,3,1,1
83,29,78,4,74,1,5,2
84,17,67,5,62,3,2,2
85,15,95,7,70,2,2,1
86,17,88,7,69,1,0,2
87,25,63,7,67,2,3,2
88,22,86,6,64,2,2,2
89,17,86,5,71,3,3,3
90,23,98,7,68,1,0,2
91,21,60,7,64,2,0,2
92,26,70,8,63,2,1,2
93,16,97,6,71,1,0,3
94,18,97,4,69,1,0,1
95,18,89,4,100,2,3,3
96,11,91,6,68,2,3,2
97,22,64,7,62,1,1,2
98,22,81,7,68,1,2,2
99,20,69,6,66,2,2,1
100,19,67,5,64,3,0,2
101,12,92,4,67,3,2,2
102,17,65,8,65,2,1,3
103,18,79,7,65,2,0,1
104,15,98,6,69,3,0,1
105,19,67,5,63,3,1,1
106,22,99,6,72,1,3,2
107,31,100,7,76,2,2,3
108,21,82,7,69,3,3,1
109,22,67,7,67,3,3,1
110,20,73,9,69,2,2,2
111,8,77,6,63,2,0,1
112,20,72,9,67,2,3,1
113,20,71,7,66,3,2,2
114,35,99,7,79,1,2,2
115,19,66,8,64,2,1,3
116,22,89,6,73,2,1,3
117,20,60,7,63,3,2,1
118,13,84,5,65,2,1,1
119,27,97,8,73,2,0,3
120,25,72,8,70,1,2,1
121,25,67,9,68,3,2,1
122,15,86,7,65,2,1,2
123,28,89,9,71,3,0,1
124,12,88,6,64,1,2,2
125,24,73,8,68,2,4,3
126,33,70,6,69,1,1,1
127,14,98,7,69,2,0,2
128,17,97,8,69,2,1,1
129,21,78,10,67,2,1,3
130,17,94,8,68,1,4,2
131,11,78,8,64,2,2,1
132,20,77,6,66,1,0,1
133,14,66,7,63,2,3,1
134,23,77,7,66,2,0,1
135,14,81,9,66,2,1,1
