hours_studied,attendance,sleep_hours,exam_score,motivation,tutoring_sessions,family_income
23,84,7,67,1,0,1
19,64,8,61,1,2,2
24,98,7,74,2,2,2
29,89,8,71,2,1,2
19,92,6,70,2,3,2
19,88,8,71,2,3,2
29,84,7,67,1,1,1
25,78,6,66,2,1,3
17,94,6,69,3,0,2
23,98,8,72,2,0,3
17,80,8,68,2,4,2
17,97,6,71,1,2,1
21,83,8,70,1,2,2
9,82,8,66,2,2,2
10,78,8,65,2,1,1
17,68,8,64,2,2,2
14,60,10,60,1,0,3
22,70,6,65,2,1,1
15,80,9,67,1,3,1
12,75,7,66,2,3,2
29,78,5,69,3,0,3
19,99,6,72,2,1,2
20,74,8,66,1,1,2
11,78,8,66,3,1,1
17,65,5,63,2,2,1
21,62,6,64,3,0,3
13,91,6,65,2,1,3
22,83,6,71,2,0,3
16,90,4,66,2,1,1
18,66,4,64,1,2,1
16,83,6,63,2,0,3
31,70,7,69,2,1,3
20,69,8,67,2,2,2
14,60,5,61,2,2,2
25,65,5,68,2,2,2
13,72,6,61,1,1,1
21,65,7,64,1,2,2
8,99,9,67,1,2,1
12,72,8,63,2,1,1
21,65,6,64,1,1,2
24,68,8,67,1,3,3
21,84,6,65,1,1,2
19,63,7,64,2,1,2
18,94,7,70,2,3,2
11,98,9,68,1,1,2
16,70,8,65,2,2,2
17,78,6,68,2,1,2
26,61,6,64,2,2,1
22,86,7,68,1,3,1
9,77,5,63,2,2,2
22,71,7,64,1,1,2
18,68,7,64,2,0,2
16,86,8,67,2,2,2
24,77,8,67,2,0,2
26,67,7,66,1,2,3
26,88,5,72,2,1,1
15,83,5,65,1,1,2
18,94,6,71,3,1,2
22,65,8,66,2,2,2
26,91,8,68,2,0,1
17,87,7,70,2,1,3
19,65,10,62,1,0,1
13,88,9,68,3,2,1
13,78,9,67,3,2,1
25,98,8,71,2,0,2
28,66,8,68,2,0,2
20,86,8,69,2,1,1
26,75,4,70,3,3,2
22,98,5,69,1,1,1
16,73,7,65,2,1,1
22,98,7,70,2,3,2
29,96,7,71,2,1,1
20,71,7,65,2,1,1
29,92,4,72,2,2,2
4,100,8,69,3,0,2
25,70,7,66,2,1,2
21,77,7,68,2,4,2
18,81,8,65,2,0,2
21,72,5,64,2,1,3
8,61,7,60,2,1,3
19,69,7,65,3,1,1
22,71,6,66,3,1,1
29,78,4,74,1,5,2
17,67,5,62,3,2,2
15,95,7,70,2,2,1
17,88,7,69,1,0,2
25,63,7,67,2,3,2
22,86,6,64,2,2,2
17,86,5,71,3,3,3
23,98,7,68,1,0,2
21,60,7,64,2,0,2
26,70,8,63,2,1,2
16,97,6,71,1,0,3
18,97,4,69,1,0,1
18,89,4,100,2,3,3
11,91,6,68,2,3,2
22,64,7,62,1,1,2
22,81,7,68,1,2,2
20,69,6,66,2,2,1
19,67,5,64,3,0,2
12,92,4,67,3,2,2
17,65,8,65,2,1,3
18,79,7,65,2,0,1
15,98,6,69,3,0,1
19,67,5,63,3,1,1
22,99,6,72,1,3,2
31,100,7,76,2,2,3
21,82,7,69,3,3,1
22,67,7,67,3,3,1
20,73,9,69,2,2,2
8,77,6,63,2,0,1
20,72,9,67,2,3,1
20,71,7,66,3,2,2
35,99,7,79,1,2,2
19,66,8,64,2,1,3
22,89,6,73,2,1,3
20,60,7,63,3,2,1
13,84,5,65,2,1,1
27,97,8,73,2,0,3
25,72,8,70,1,2,1
25,67,9,68,3,2,1
15,86,7,65,2,1,2
28,89,9,71,3,0,1
12,88,6,64,1,2,2
24,73,8,68,2,4,3
33,70,6,69,1,1,1
14,98,7,69,2,0,2
17,97,8,69,2,1,1
21,78,10,67,2,1,3
17,94,8,68,1,4,2
11,78,8,64,2,2,1
20,77,6,66,1,0,1
14,66,7,63,2,3,1
23,77,7,66,2,0,1
14,81,9,66,2,1,1
29,61,7,67,1,3,1
15,78,9,65,1,1,1
18,91,5,68,2,1,2
25,87,9,68,3,1,1
13,85,6,65,2,0,3
21,96,8,71,3,2,2
28,61,6,65,3,1,1
10,82,8,64,2,3,1
21,91,6,72,2,0,3
22,82,9,65,2,2,1
25,73,8,66,3,0,1
13,65,6,61,2,0,1
12,96,8,68,2,2,2
23,79,8,69,1,3,2
22,95,6,72,2,1,1
22,83,5,71,2,2,1
